Site,Year,CobleA,CobleB,CobleC,CobleM,CobleT,Lignin,M_to_C,HIX,BIX,FI
206,2021,0.011871969,0.033914798,0.00982203,0.014157316,0.032003792,0.021917442,1.441383992,0.609787421,0.738820216,1.486593377
207,2021,0.008612645,0.03527513,0.006294041,0.011109899,0.022708321,0.038182097,1.765145551,0.448474547,0.735257047,1.71358804
208,2021,0.019320964,0.064403022,0.015837557,0.023147464,0.046067553,0.046732539,1.461555187,0.644898966,0.732537173,1.516684325
209,2021,0.010113519,0.04822716,0.007099897,0.012730741,0.024774768,0.023538015,1.793088101,0.417791008,0.58881709,1.634632014
210,2021,0.011375734,0.039749263,0.013260038,0.014508476,0.030090815,0.016237887,1.094150412,0.729704929,0.807761724,1.588055508
Cook's 1,2021,0.012453953,0.043396895,0.011117804,0.015384575,0.034723854,0.012175986,1.383778264,0.70050779,0.79098015,1.618262092
LTER 3 Back Reef,2021,0.007029037,0.033701449,0.005667607,0.009147658,0.025580531,0.009526092,1.614024803,0.408322202,0.821807505,1.617416538
LTER 3 Fringe Reef,2021,0.010111751,0.038786192,0.007595371,0.013397554,0.027312568,0.009078371,1.763910436,0.564967886,0.782717644,1.510499177
LTER 6 Fringe,2021,0.014161441,0.051219066,0.012992578,0.017036486,0.030102686,0.022216293,1.311247566,0.712995509,0.726831689,1.624256311
OPU 1,2021,0.015747465,0.068412879,0.013742396,0.018314923,0.062831714,0.032495294,1.332731426,0.437710488,0.820582957,1.605541569
OPU 2,2021,0.020041902,0.052554168,0.020096229,0.023978992,0.03243479,0.012640051,1.193208555,1.145937928,0.784990258,1.569215224
1,2022,0.0349362883462705,0.045490814989807,0.0335417232408751,0.0445729611052868,0.177337280311864,0.111593684491972,0.752512788227048,0.70733510999192,1.03769088241607,2.01228545873824
10,2022,0.00800205856325715,0.0239367797854169,0.00674518500281491,0.0117633491627788,0,0,0.573406851184679,2.21339888191062,0.677251100980205,2.0785438359745
100,2022,0.00619654931059197,0.031117061282922,0.00450877919719415,0.00838986417868625,0.0282127434875821,0,0.537407888991615,0.303827231662795,0.964868542165365,2.1692950509219
101,2022,0.00870709917817407,0.0297892285039597,0.00562928007906805,0.017172524934724,0.0254932813857861,0,0.327807360913204,0.627765841505386,0.691959671271338,2.75405324953947
102,2022,0.00566374066540506,0.0189567228295629,0.00535403647116503,0.00725727044681056,0.0168069157087021,0.000591715207821721,0.73774796053219,1.00581865804347,1.02784454387837,1.77551772470923
103,2022,0.0206106706597691,0.0307832214302986,0.0189279472815428,0.0269913006586357,0.0665452120574433,0.0159518274790711,0.701261029282297,0.882361414430496,1.04065404408,2.14501280734278
104,2022,0.0142869925228217,0.0163220255565271,0.0134750703471932,0.0177525537310217,0.0158928218070836,0.00569877015010452,0.75904968667388,1.94990742698401,0.857660577959923,1.79292084373967
105,2022,0.00990429719808575,0.023294136559287,0.0100619625134437,0.0128556840765865,0.0286231155680079,0.00306841610864178,0.782685888475517,1.10599837938465,1.0797954876229,1.78826841249804
106,2022,0.00943054585157429,0.0309845370724602,0.00764075643059153,0.012482866069774,0.0348152432674256,0.0214396271858808,0.612099528095782,0.580658508954053,0.873706077161658,2.3794794558264
107,2022,0.00765303846905883,0.021024925359456,0.00574150158458867,0.0101742455113815,0.095960161208428,0.0734345973104221,0.564317184813937,0.377657058643856,1.42520322800128,1.94804131350236
108,2022,0.0052204754763522,0.0192342295335141,0.00421164682633121,0.00663894178798618,0.0149562371743372,0,0.634385262114002,0.787540863184538,0.904309596460215,1.43194657009457
109,2022,0.00679541014948674,0.0237774365761352,0.00644083539461691,0.00932562715429276,0.0266893518537097,0.0105890605608605,0.690659758110968,0.809764786926368,0.978325114245401,2.08653786802286
